,symbol,lastPr,askPr,bidPr,bidSz,askSz,high24h,low24h,ts,change24h,baseVolume,quoteVolume,usdtVolume,openUtc,changeUtc24h,indexPrice,fundingRate,holdingAmount,deliveryStartTime,deliveryTime,deliveryStatus,open24h,markPrice
0,BTCUSDT,84193.4,84193.4,84193.3,0.4088,0.0265,84500,83578.6,1742697623974,0.0004,34170.0343,2873953857.00041,2873953857.00041,83797.1,0.00473,84233.154552083400578,-0.000011,42784.9626,,,,84160,84193.5
1,ETHUSDT,1998.67,1998.68,1998.67,104.72,3.74,2005.56,1973.99,1742697623974,0.00759,925152.49,1839814701.6803,1839814701.6803,1979.84,0.00952,1999.6445811093366102,0.000056,742524.18,,,,1983.61,1998.68
2,XRPUSDT,2.3814,2.3814,2.381,81,3613,2.4155,2.3571,1742697623974,-0.00497,216716111,516821444.2263,516821444.2263,2.3703,0.00456,2.3821389371871309,0.0001,384495858,,,,2.3933,2.3814
3,EOSUSDT,0.5477,0.5477,0.5475,3787,4134,0.562,0.5435,1742697623974,0.00201,3811211,2104043.2756,2104043.2756,0.5497,-0.00364,0.5478405541519179,0.0001,18585439,,,,0.5466,0.5477
4,BCHUSDT,323.94,323.95,323.94,0.29,0.53,326.24,320.66,1742697623974,-0.00439,16699.04,5405278.3179,5405278.3179,322.22,0.00534,323.9490164047596343,0.0001,60688.76,,,,325.37,323.94
5,LTCUSDT,91.98,91.94,91.92,346.7,28.5,92.21,90.56,1742697623974,0.01021,94221.3,8595279.14,8595279.14,91.38,0.00657,91.9058080729868212,0.0001,713718.9,,,,91.05,91.93
6,ADAUSDT,0.7083,0.7083,0.7082,70164,1093,0.716,0.6969,1742697623974,0.00014,30282378,21387524.1635,21387524.1635,0.7014,0.00984,0.7083042541279264,0.0001,175528975,,,,0.7082,0.7083
7,ETCUSDT,17.782,17.782,17.776,148,541,17.989,17.614,1742697623974,-0.0042,102663,1829480.91,1829480.91,17.663,0.00674,17.7850778365553928,0.0001,546576,,,,17.857,17.7831
8,LINKUSDT,14.338,14.34,14.339,780,35,14.491,14.003,1742697623974,0.01681,844622,12044802.453,12044802.453,14.244,0.0066,14.3521513649230697,0.000071,6470314,,,,14.101,14.342
9,TRXUSDT,0.24042,0.2405,0.24045,39728,4158,0.24091,0.23312,1742697623974,0.0218,11077321,2615112.64959,2615112.64959,0.23692,0.01477,0.2405278691846171,0.0001,109835880,,,,0.23529,0.24048
