,Date,open,high,low,close,volume,volume Currency
0,1740283200000,0.2672,0.2707,0.2646,0.2649,654871.3,175555.91379
1,1740326400000,0.2649,0.2682,0.2594,0.2595,1588618.6,416632.57676
2,1740369600000,0.2595,0.2635,0.2531,0.2551,875746.5,226813.0415
3,1740412800000,0.2551,0.257,0.2412,0.2448,2103027.7,517986.16318
4,1740456000000,0.2448,0.2516,0.2336,0.2508,1703882.6,415835.9363
5,1740499200000,0.2508,0.2575,0.2484,0.2555,1456698.1,368885.31959
6,1740542400000,0.2555,0.2582,0.2468,0.2534,5850898.3,1477074.46868
7,1740585600000,0.2534,0.2538,0.2377,0.2433,2187203.5,534664.60892
8,1740628800000,0.2433,0.2512,0.2421,0.2455,1815327.3,448831.08626
9,1740672000000,0.2455,0.2473,0.2289,0.2292,1360387,327030.88077
10,1740715200000,0.2292,0.242,0.2249,0.2399,3189071.3,739919.72763
11,1740758400000,0.2399,0.243,0.2376,0.2413,1115261.5,268237.29642
12,1740801600000,0.2413,0.2438,0.2344,0.2357,711811.8,171259.44726
13,1740844800000,0.2357,0.2438,0.2352,0.2411,1479469.4,354254.5025
14,1740888000000,0.2411,0.2476,0.238,0.2441,557401.9,134884.62025
15,1740931200000,0.2441,0.2611,0.2439,0.2502,2178784.1,558903.20721
16,1740974400000,0.2502,0.2526,0.2382,0.2394,1238818.2,301416.45451
17,1741017600000,0.2394,0.2408,0.2109,0.2171,3521497.4,798245.02644
18,1741060800000,0.2171,0.2251,0.2158,0.2208,1003075.8,220354.90673
19,1741104000000,0.2208,0.2307,0.2118,0.2243,1221732.3,275458.50865
20,1741147200000,0.2243,0.2367,0.2239,0.2298,523959.1,121260.75339
21,1741190400000,0.2298,0.238,0.2272,0.2375,977945,229415.97664
22,1741233600000,0.2375,0.2405,0.232,0.237,815188,193411.71725
23,1741276800000,0.237,0.2382,0.2215,0.2272,991441.3,228392.8289
24,1741320000000,0.2272,0.2368,0.2268,0.2319,1384519.6,320908.80252
25,1741363200000,0.2319,0.2342,0.2224,0.2261,840864.4,191912.52478
26,1741406400000,0.2261,0.229,0.2225,0.2284,357748.2,80795.91479
27,1741449600000,0.2284,0.2325,0.226,0.2272,596094.7,136769.05307
28,1741492800000,0.2272,0.2283,0.2182,0.2188,378832.6,84725.71223
29,1741536000000,0.2188,0.2199,0.2083,0.2132,1556538.5,332514.78047
30,1741579200000,0.2132,0.2233,0.2106,0.2106,732933.2,158299.19971
31,1741622400000,0.2106,0.2112,0.181,0.1912,1592359.5,311053.93842
32,1741665600000,0.1912,0.2004,0.1912,0.1974,771437.2,150672.59758
33,1741708800000,0.1974,0.2041,0.1933,0.1933,474688.5,94266.74885
34,1741752000000,0.1933,0.2033,0.1905,0.1934,592616.5,116283.63594
35,1741795200000,0.1934,0.1988,0.1934,0.1963,501570.5,98479.79692
36,1741838400000,0.1963,0.2003,0.193,0.1951,3144587.2,620274.35785
37,1741881600000,0.1951,0.1966,0.1893,0.1965,557000.5,107601.92588
38,1741924800000,0.1965,0.2027,0.1965,0.2012,632245.4,125670.28489
39,1741968000000,0.2012,0.2019,0.1976,0.2015,509634.5,101818.20784
40,1742011200000,0.2015,0.2029,0.1977,0.2018,989536.8,198036.4818
41,1742054400000,0.2018,0.2058,0.2008,0.202,1041860.7,212056.47192
42,1742097600000,0.202,0.2032,0.1961,0.2001,1022324.7,204214.05806
43,1742140800000,0.2001,0.2033,0.1964,0.2001,779210.7,155295.51219
44,1742184000000,0.2001,0.2091,0.1964,0.2077,2914455.6,596032.95498
45,1742227200000,0.2077,0.2097,0.2001,0.2004,805209.9,165750.53384
46,1742270400000,0.2004,0.2034,0.1975,0.1978,732429.7,146996.1552
47,1742313600000,0.1978,0.207,0.1957,0.2051,1593274.2,319653.32745
48,1742356800000,0.2051,0.2123,0.2036,0.212,1207509.4,250791.71682
49,1742400000000,0.212,0.2137,0.2089,0.21,955195.4,201949.56456
