,Date,open,high,low,close,volume,volume Currency
0,1738166400000,0.2965,0.3165,0.2937,0.3146,3235582.2,987143.57939
1,1738252800000,0.3146,0.3231,0.3078,0.323,2439194.8,766671.69966
2,1738339200000,0.323,0.3239,0.3041,0.3087,2306257.3,715164.34041
3,1738425600000,0.3087,0.3107,0.2833,0.2863,3117681.2,926627.72673
4,1738512000000,0.2863,0.2869,0.205,0.2694,17949427.9,4392008.5011
5,1738598400000,0.2694,0.2788,0.2511,0.2642,2899330.1,769097.13959
6,1738684800000,0.2642,0.27,0.2541,0.2618,3482986.3,906491.83222
7,1738771200000,0.2618,0.263,0.2487,0.2503,1570050.2,403343.09889
8,1738857600000,0.2503,0.2641,0.2497,0.2586,3472953,880756.13645
9,1738944000000,0.2586,0.2601,0.2445,0.2519,899156.9,226506.30832
10,1739030400000,0.2519,0.2651,0.2507,0.2601,4378107.5,1143895.67369
11,1739116800000,0.2601,0.2664,0.25,0.2628,991385.3,256027.16917
12,1739203200000,0.2628,0.2743,0.2612,0.2633,1496920.9,402451.72222
13,1739289600000,0.2633,0.267,0.2557,0.2657,2028558.2,533149.6462
14,1739376000000,0.2657,0.2789,0.2646,0.2707,2078695.1,567225.91176
15,1739462400000,0.2707,0.2769,0.2681,0.2723,1098357,299425.38855
16,1739548800000,0.2723,0.2781,0.2688,0.2712,1512093.8,413786.25939
17,1739635200000,0.2712,0.2751,0.2647,0.2693,2642318.8,709832.41321
18,1739721600000,0.2693,0.2765,0.2637,0.2693,2072444,564146.74232
19,1739808000000,0.2693,0.2737,0.2586,0.2596,5150018.1,1376008.5064
20,1739894400000,0.2596,0.2689,0.2574,0.2624,1231040.2,325491.25388
21,1739980800000,0.2624,0.27,0.2613,0.2623,3101297.4,823617.80606
22,1740067200000,0.2623,0.2761,0.2623,0.2657,2626128.7,707759.14549
23,1740153600000,0.2657,0.2692,0.257,0.2662,2578156.7,675007.752
24,1740240000000,0.2662,0.2712,0.2646,0.2649,2759843.9,740195.03207
25,1740326400000,0.2649,0.2682,0.2531,0.2551,2464365.1,643445.61826
26,1740412800000,0.2551,0.257,0.2336,0.2508,3806910.3,933822.09948
27,1740499200000,0.2508,0.2582,0.2468,0.2534,7307596.4,1845959.78827
28,1740585600000,0.2534,0.2538,0.2377,0.2455,4002530.8,983495.69518
29,1740672000000,0.2455,0.2473,0.2249,0.2399,4549458.3,1066950.6084
30,1740758400000,0.2399,0.2438,0.2344,0.2357,1827073.3,439496.74368
31,1740844800000,0.2357,0.2476,0.2352,0.2441,2036871.3,489139.12275
32,1740931200000,0.2441,0.2611,0.2382,0.2394,3417602.3,860319.66172
33,1741017600000,0.2394,0.2408,0.2109,0.2208,4524573.2,1018599.93317
34,1741104000000,0.2208,0.2367,0.2118,0.2298,1760419.4,400082.43339
35,1741190400000,0.2298,0.2405,0.2272,0.237,1793133,422827.69389
36,1741276800000,0.237,0.2382,0.2215,0.2319,2375960.9,549301.63142
37,1741363200000,0.2319,0.2342,0.2224,0.2284,1198612.6,272708.43957
38,1741449600000,0.2284,0.2325,0.2182,0.2188,974927.3,221494.7653
39,1741536000000,0.2188,0.2233,0.2083,0.2106,2289471.7,490813.98018
40,1741622400000,0.2106,0.2112,0.181,0.1974,2363796.7,461726.536
41,1741708800000,0.1974,0.2041,0.1905,0.1934,1067305,210550.38479
42,1741795200000,0.1934,0.2003,0.193,0.1951,3646157.7,718754.15477
43,1741881600000,0.1951,0.2027,0.1893,0.2012,1189245.9,233272.21077
44,1741968000000,0.2012,0.2029,0.1976,0.2018,1499171.3,299854.68964
45,1742054400000,0.2018,0.2058,0.1961,0.2001,2064185.4,416270.52998
46,1742140800000,0.2001,0.2091,0.1964,0.2077,3693666.3,751328.46717
47,1742227200000,0.2077,0.2097,0.1975,0.1978,1537639.6,312746.68904
48,1742313600000,0.1978,0.2123,0.1957,0.212,2800783.6,570445.04427
49,1742400000000,0.212,0.2137,0.2089,0.21,955195.4,201949.56456
