,Date,open,high,low,close,volume,volume Currency
0,1738252800000,0.1633,0.1705,0.1565,0.1705,1503955.5,244162.6307
1,1738339200000,0.1705,0.1707,0.1554,0.1569,2133548.3,343026.5708
2,1738425600000,0.1569,0.1575,0.1401,0.1421,4400244,658958.67762
3,1738512000000,0.1421,0.1421,0.0918,0.1226,13917449,1609123.15817
4,1738598400000,0.1226,0.1328,0.1157,0.1231,5695177.4,696612.91895
5,1738684800000,0.1231,0.1298,0.1199,0.1242,5545343.4,696810.47921
6,1738771200000,0.1242,0.1246,0.1125,0.1132,1733852.8,208324.4787
7,1738857600000,0.1132,0.1231,0.1116,0.1202,1408351.3,163651.93581
8,1738944000000,0.1202,0.1216,0.1137,0.1188,1762832.3,206196.93797
9,1739030400000,0.1188,0.1299,0.1178,0.1252,5265634.7,665036.09303
10,1739116800000,0.1252,0.1334,0.1188,0.129,1846591.6,232844.98995
11,1739203200000,0.129,0.1399,0.128,0.1326,1994368.9,268265.14218
12,1739289600000,0.1326,0.1331,0.1232,0.1292,2754483.7,353866.70309
13,1739376000000,0.1292,0.1404,0.1281,0.1318,2094715.8,283756.51019
14,1739462400000,0.1318,0.1377,0.1291,0.136,1091545.9,146358.28325
15,1739548800000,0.136,0.1413,0.1335,0.1377,1862765.8,256300.82924
16,1739635200000,0.1377,0.1419,0.1329,0.1375,2240983.7,305960.59385
17,1739721600000,0.1375,0.1435,0.1289,0.1384,9665224.3,1317678.84508
18,1739808000000,0.1384,0.1402,0.1262,0.1265,6098820.6,803940.23797
19,1739894400000,0.1265,0.1302,0.1217,0.1258,2535621.8,320636.66678
20,1739980800000,0.1258,0.1347,0.125,0.1302,1373309.6,177601.72517
21,1740067200000,0.1302,0.1454,0.1302,0.1376,5160081.4,710497.62273
22,1740153600000,0.1376,0.1411,0.1316,0.1403,1530399,210213.6911
23,1740240000000,0.1403,0.1425,0.1345,0.1346,1546833.5,215277.14062
24,1740326400000,0.1346,0.1376,0.1272,0.129,4262783.8,564263.04855
25,1740412800000,0.129,0.1298,0.1097,0.121,3398005.6,402853.47456
26,1740499200000,0.121,0.1247,0.116,0.1208,1816998.8,218884.01878
27,1740585600000,0.1208,0.1242,0.1143,0.1185,2640063.9,317370.84394
28,1740672000000,0.1185,0.1196,0.1062,0.1183,1585860.5,180064.23872
29,1740758400000,0.1183,0.1245,0.1154,0.1166,4557935.1,547387.41448
30,1740844800000,0.1166,0.1244,0.1137,0.1217,4353390.5,507445.80767
31,1740931200000,0.1217,0.1324,0.1192,0.1201,4516737.9,576986.60614
32,1741017600000,0.1201,0.1213,0.1005,0.1046,4303610.2,469631.87357
33,1741104000000,0.1046,0.1122,0.0983,0.1087,1386933.1,148258.69032
34,1741190400000,0.1087,0.1172,0.1073,0.1121,2616945.1,296280.30992
35,1741276800000,0.1121,0.1139,0.1025,0.1133,2310165,253929.68206
36,1741363200000,0.1133,0.1138,0.1053,0.1065,2150761.5,235413.73585
37,1741449600000,0.1065,0.1086,0.0996,0.0999,2024407.1,214135.25163
38,1741536000000,0.0999,0.1036,0.0943,0.0989,1162727.5,114263.88416
39,1741622400000,0.0989,0.099,0.0865,0.0972,2951494.2,277847.56675
40,1741708800000,0.0972,0.1023,0.0948,0.0979,3226890.5,317692.10292
41,1741795200000,0.0979,0.1019,0.0974,0.0982,3842359.5,384136.00757
42,1741881600000,0.0982,0.1044,0.0951,0.1035,1217164.7,119013.8579
43,1741968000000,0.1035,0.1046,0.1007,0.103,2107399.8,215192.89003
44,1742054400000,0.103,0.1042,0.0979,0.0993,582215.4,58858.10487
45,1742140800000,0.0993,0.1048,0.0975,0.1024,2498210.9,248107.82038
46,1742227200000,0.1024,0.1064,0.0986,0.0986,1358102.8,141202.6912
47,1742313600000,0.0986,0.1071,0.0979,0.107,1680487,171805.27961
48,1742400000000,0.107,0.1097,0.1044,0.1075,1736261.4,185880.9248
49,1742486400000,0.1075,0.109,0.1061,0.1085,150315.1,16188.62001
