,Date,open,high,low,close,volume,volume Currency
0,1742313600000,0.0986,0.0996,0.0985,0.0986,13073.4,1294.00208
1,1742317200000,0.0986,0.0992,0.0983,0.0985,14082,1390.27553
2,1742320800000,0.0985,0.0991,0.0979,0.099,537085.6,52861.08797
3,1742324400000,0.099,0.1002,0.0989,0.1002,23864,2371.28179
4,1742328000000,0.1002,0.1007,0.0997,0.1006,39604,3972.53657
5,1742331600000,0.1006,0.1013,0.1004,0.1006,74049.9,7461.59631
6,1742335200000,0.1006,0.1014,0.1005,0.1013,40042.1,4043.82005
7,1742338800000,0.1013,0.1024,0.1013,0.1024,33859.8,3454.22465
8,1742342400000,0.1024,0.1037,0.1022,0.1037,28101.1,2883.19931
9,1742346000000,0.1037,0.1038,0.1035,0.1035,10193.7,1056.95763
10,1742349600000,0.1035,0.1039,0.1034,0.1037,5763.8,597.12296
11,1742353200000,0.1037,0.105,0.1037,0.1048,423418.4,44320.48199
12,1742356800000,0.1048,0.1052,0.1046,0.105,29647.8,3110.56193
13,1742360400000,0.105,0.1055,0.105,0.1054,21656.3,2278.83243
14,1742364000000,0.1054,0.1054,0.1045,0.1049,47467.6,4976.95286
15,1742367600000,0.1049,0.1049,0.1043,0.1043,2240.2,233.69102
16,1742371200000,0.1043,0.1044,0.1041,0.1042,9951.9,1038.18703
17,1742374800000,0.1042,0.1042,0.1037,0.104,23797.6,2474.0183
18,1742378400000,0.104,0.1054,0.1036,0.1049,48264.9,5055.39944
19,1742382000000,0.1049,0.1062,0.1043,0.1058,17732.2,1868.43437
20,1742385600000,0.1058,0.1059,0.1048,0.1053,13710.2,1443.66503
21,1742389200000,0.1053,0.1069,0.1051,0.1061,191253.5,20255.48074
22,1742392800000,0.1061,0.1067,0.1057,0.1063,23361.9,2481.62601
23,1742396400000,0.1063,0.1071,0.1063,0.107,8265.1,881.84361
24,1742400000000,0.107,0.1071,0.1063,0.1066,19548.4,2086.33687
25,1742403600000,0.1066,0.1066,0.1044,0.1052,27419.6,2882.92192
26,1742407200000,0.1052,0.1077,0.105,0.1075,149732,15900.21044
27,1742410800000,0.1075,0.108,0.1064,0.1066,32113.8,3447.68172
28,1742414400000,0.1066,0.1072,0.1065,0.1065,10434.9,1117.22246
29,1742418000000,0.1065,0.107,0.1065,0.107,122132.9,13037.15333
30,1742421600000,0.107,0.108,0.1068,0.1073,89097.7,9548.42385
31,1742425200000,0.1073,0.1076,0.1073,0.1075,6737.1,724.13253
32,1742428800000,0.1075,0.1078,0.106,0.1062,27298.7,2916.24117
33,1742432400000,0.1062,0.1062,0.1053,0.1055,17614.8,1859.99076
34,1742436000000,0.1055,0.1057,0.1053,0.1053,13085.2,1379.08784
35,1742439600000,0.1053,0.1064,0.1053,0.1064,23516.4,2494.19135
36,1742443200000,0.1064,0.1064,0.1057,0.1058,25420.6,2693.83487
37,1742446800000,0.1058,0.1059,0.1053,0.1056,43264.1,4562.80668
38,1742450400000,0.1056,0.1058,0.1053,0.1056,28326.9,2992.98701
39,1742454000000,0.1056,0.1059,0.1054,0.1057,7956.7,840.75604
40,1742457600000,0.1057,0.1066,0.1056,0.1066,35294,3746.03349
41,1742461200000,0.1066,0.1084,0.106,0.1081,258784.7,27845.67444
42,1742464800000,0.1081,0.1081,0.1058,0.1067,306745.2,32813.24415
43,1742468400000,0.1067,0.1068,0.1062,0.1064,18112,1927.36437
44,1742472000000,0.1064,0.1072,0.1061,0.1072,113879.4,12192.33991
45,1742475600000,0.1072,0.1091,0.1068,0.1079,165113.8,17731.47118
46,1742479200000,0.1079,0.1097,0.1079,0.1092,74444.1,8132.37844
47,1742482800000,0.1092,0.1095,0.1071,0.1075,120188.4,13008.43998
48,1742486400000,0.1075,0.1079,0.1061,0.1064,51893.2,5556.97675
49,1742490000000,0.1064,0.109,0.1064,0.1085,98421.9,10631.64326
