,Date,open,high,low,close,volume,volume Currency
0,1742403600000,0.1066,0.1066,0.1057,0.1057,6608.1,700.59861
1,1742405400000,0.1057,0.1057,0.1044,0.1052,20811.5,2182.32331
2,1742407200000,0.1052,0.1067,0.105,0.1057,114840.4,12165.05345
3,1742409000000,0.1057,0.1077,0.1057,0.1075,34891.6,3735.15699
4,1742410800000,0.1075,0.108,0.1064,0.1064,25062.3,2695.98999
5,1742412600000,0.1064,0.1067,0.1064,0.1066,7051.5,751.69173
6,1742414400000,0.1066,0.1072,0.1066,0.1071,8410.3,901.50386
7,1742416200000,0.1071,0.1071,0.1065,0.1065,2024.6,215.7186
8,1742418000000,0.1065,0.1069,0.1065,0.1067,25277.6,2699.22997
9,1742419800000,0.1067,0.107,0.1065,0.107,96855.3,10337.92336
10,1742421600000,0.107,0.1075,0.1068,0.1073,64091.3,6864.39858
11,1742423400000,0.1073,0.108,0.1071,0.1073,25006.4,2684.02527
12,1742425200000,0.1073,0.1075,0.1073,0.1074,1975.8,212.29549
13,1742427000000,0.1074,0.1076,0.1074,0.1075,4761.3,511.83704
14,1742428800000,0.1075,0.1078,0.107,0.1071,11872.8,1274.50058
15,1742430600000,0.1071,0.1071,0.106,0.1062,15425.9,1641.74059
16,1742432400000,0.1062,0.1062,0.1062,0.1062,3489.9,370.62738
17,1742434200000,0.1062,0.1062,0.1053,0.1055,14124.9,1489.36338
18,1742436000000,0.1055,0.1057,0.1053,0.1053,6752,712.20188
19,1742437800000,0.1053,0.1053,0.1053,0.1053,6333.2,666.88596
20,1742439600000,0.1053,0.1063,0.1053,0.106,15830.5,1677.61725
21,1742441400000,0.106,0.1064,0.106,0.1064,7685.9,816.5741
22,1742443200000,0.1064,0.1064,0.1058,0.1058,21663.3,2296.43961
23,1742445000000,0.1058,0.1058,0.1057,0.1058,3757.3,397.39526
24,1742446800000,0.1058,0.1059,0.1053,0.1054,25876.6,2727.22306
25,1742448600000,0.1054,0.1057,0.1053,0.1056,17387.5,1835.58362
26,1742450400000,0.1056,0.1058,0.1056,0.1056,15093.4,1595.32709
27,1742452200000,0.1056,0.1058,0.1053,0.1056,13233.5,1397.65992
28,1742454000000,0.1056,0.1057,0.1054,0.1055,4101.4,433.39451
29,1742455800000,0.1055,0.1059,0.1054,0.1057,3855.3,407.36153
30,1742457600000,0.1057,0.1063,0.1056,0.1063,13052.1,1380.83339
31,1742459400000,0.1063,0.1066,0.1062,0.1066,22241.9,2365.2001
32,1742461200000,0.1066,0.108,0.106,0.1077,227279.8,24440.57816
33,1742463000000,0.1077,0.1084,0.1077,0.1081,31504.9,3405.09628
34,1742464800000,0.1081,0.1081,0.1058,0.1073,114303.9,12196.44786
35,1742466600000,0.1073,0.1073,0.1067,0.1067,192441.3,20616.79629
36,1742468400000,0.1067,0.1068,0.1062,0.1062,2400.5,255.66077
37,1742470200000,0.1062,0.1064,0.1062,0.1064,15711.5,1671.7036
38,1742472000000,0.1064,0.1069,0.1061,0.1069,15807.2,1679.34885
39,1742473800000,0.1069,0.1072,0.1069,0.1072,98072.2,10512.99106
40,1742475600000,0.1072,0.1082,0.1068,0.1079,146110.5,15672.64928
41,1742477400000,0.1079,0.1091,0.1079,0.1079,19003.3,2058.8219
42,1742479200000,0.1079,0.1093,0.1079,0.1093,5829.8,633.23121
43,1742481000000,0.1093,0.1097,0.1086,0.1092,68614.3,7499.14723
44,1742482800000,0.1092,0.1095,0.108,0.1086,62895.1,6824.21145
45,1742484600000,0.1086,0.1088,0.1071,0.1075,57293.3,6184.22853
46,1742486400000,0.1075,0.1079,0.107,0.107,28399.8,3053.83831
47,1742488200000,0.107,0.107,0.1061,0.1064,23493.4,2503.13844
48,1742490000000,0.1064,0.1083,0.1064,0.1078,51434.5,5531.5612
49,1742491800000,0.1078,0.109,0.1078,0.1085,46987.4,5100.08206
