,Date,open,high,low,close,volume,volume Currency
0,1742421900000,0.2113,0.2115,0.2113,0.2115,6413.6,1355.96117
1,1742422200000,0.2115,0.2119,0.2115,0.2119,5004.7,1059.69958
2,1742422500000,0.2119,0.2122,0.2119,0.2119,4741.8,1005.39183
3,1742422800000,0.2119,0.212,0.2119,0.212,1377.4,291.9784
4,1742423100000,0.212,0.212,0.2117,0.2117,166.3,35.20571
5,1742423400000,0.2117,0.2118,0.2116,0.2118,1004.7,212.71058
6,1742423700000,0.2118,0.212,0.2118,0.212,2691.5,570.46287
7,1742424000000,0.212,0.2128,0.2119,0.2126,24188.2,5144.03563
8,1742424300000,0.2126,0.2128,0.2122,0.2125,1905.2,404.73538
9,1742424600000,0.2125,0.2125,0.2123,0.2123,1827.4,388.12778
10,1742424900000,0.2123,0.2123,0.212,0.212,1543,327.20954
11,1742425200000,0.212,0.2123,0.212,0.2122,2348.8,498.15903
12,1742425500000,0.2122,0.2122,0.212,0.212,595,126.20078
13,1742425800000,0.212,0.212,0.2114,0.2114,790.4,167.25112
14,1742426100000,0.2114,0.2114,0.2111,0.2111,490.9,103.68263
15,1742426400000,0.2111,0.2115,0.2111,0.2115,930.6,196.73597
16,1742426700000,0.2115,0.2119,0.2115,0.2119,4300.5,910.13085
17,1742427000000,0.2119,0.212,0.2117,0.2119,3933.2,833.15628
18,1742427300000,0.2119,0.2124,0.2118,0.2122,1261.1,267.5017
19,1742427600000,0.2122,0.2127,0.2122,0.2127,2493,530.06456
20,1742427900000,0.2127,0.2128,0.2126,0.2127,1443.6,307.04206
21,1742428200000,0.2127,0.2127,0.2125,0.2126,604,128.3944
22,1742428500000,0.2126,0.2126,0.2122,0.2124,964.9,204.95321
23,1742428800000,0.2124,0.2135,0.2124,0.213,20866.1,4451.47285
24,1742429100000,0.213,0.2132,0.2128,0.2132,13122.4,2795.92773
25,1742429400000,0.2132,0.2132,0.2124,0.2124,1648.7,350.65841
26,1742429700000,0.2124,0.2124,0.2121,0.2124,1530.9,324.8571
27,1742430000000,0.2124,0.2124,0.2116,0.2116,2069.6,438.37933
28,1742430300000,0.2116,0.2122,0.2116,0.2121,1843,390.73682
29,1742430600000,0.2121,0.2121,0.2118,0.2121,3955.9,838.71492
30,1742430900000,0.2121,0.2122,0.2111,0.2112,1081.9,228.83125
31,1742431200000,0.2112,0.2114,0.2111,0.2111,1181.3,249.61652
32,1742431500000,0.2111,0.2111,0.2104,0.2106,1630.2,343.6352
33,1742431800000,0.2106,0.2112,0.2105,0.2112,1149.4,242.22087
34,1742432100000,0.2112,0.2112,0.2108,0.2108,1479.7,312.00674
35,1742432400000,0.2108,0.2109,0.2103,0.2109,1276.3,268.85784
36,1742432700000,0.2109,0.2112,0.2109,0.2112,3268.2,689.5904
37,1742433000000,0.2112,0.2113,0.2109,0.2109,1282.5,270.69725
38,1742433300000,0.2109,0.2109,0.2105,0.2109,781.9,164.71761
39,1742433600000,0.2109,0.211,0.2106,0.2107,1931.1,406.93335
40,1742433900000,0.2107,0.2107,0.2106,0.2106,2943.6,620.01577
41,1742434200000,0.2106,0.2106,0.2102,0.2103,1871.5,393.64483
42,1742434500000,0.2103,0.2103,0.21,0.2101,1703.6,357.90148
43,1742434800000,0.2101,0.2104,0.2099,0.2101,3550.2,746.19364
44,1742435100000,0.2101,0.2102,0.2101,0.2102,417.2,87.66805
45,1742435400000,0.2102,0.2103,0.2101,0.2103,4230.1,889.52749
46,1742435700000,0.2103,0.2103,0.2101,0.2101,2470.7,519.13221
47,1742436000000,0.2101,0.2104,0.2101,0.2104,899.1,189.06279
48,1742436300000,0.2104,0.2104,0.2101,0.2103,768,161.43437
49,1742436600000,0.2103,0.2103,0.21,0.21,439.2,92.30309
